schemeBy,schemeLocation,foundedBy,departmentName,Beneficiary,schemeObjective,schemeName,description,tags
Central,National,Ministry of Social Justice,Social Justice Department,Individual,To provide financial assistance and pension to needy individuals,Old Age Senior Citizen Pension Scheme (2),This scheme aims to To provide financial assistance and pension to needy individuals for senior citizen by implementing the pension scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial assistance and pension to needy individuals.,"Senior Citizen, Pension, Assistance"
State,Bihar,State Government of Bihar,Social Justice Department,Individual,To provide financial assistance and pension to needy individuals,Disability Orphan Rehabilitation Grant (2),This scheme aims to To provide financial assistance and pension to needy individuals for orphan by implementing the rehabilitation grant. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial assistance and pension to needy individuals.,"Orphan, Assistance, Rehabilitation, Rural"
State,Maharashtra,State Government of Maharashtra,Department of Social Welfare,Individual,To provide financial assistance and pension to needy individuals,Old Age Disabled Pension Scheme (2),This scheme aims to To provide financial assistance and pension to needy individuals for disabled by implementing the pension scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial assistance and pension to needy individuals.,"Disabled, Pension, Assistance"
Central,National,Ministry of Social Justice,Fisheries Department,Individual / Group,To improve safety and productivity in the fisheries sector,Marine Coastal Community Sea Safety Training Course,This scheme aims to To improve safety and productivity in the fisheries sector for coastal community by implementing the sea safety training course. It provides support and benefits to eligible beneficiaries in line with the goal of To improve safety and productivity in the fisheries sector.,"Coastal, Fisherman, Community, Rural"
Central,National,Ministry of Education,Fisheries Department,Individual / Group,To enhance the livelihood of fishermen through training and support,Marine Women Fisherfolk Fishermen Welfare Scheme,This scheme aims to To enhance the livelihood of fishermen through training and support for women fisherfolk by implementing the fishermen welfare scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance the livelihood of fishermen through training and support.,"Women, Fisherman, Subsidy, Urban"
State,Maharashtra,State Government of Maharashtra,Fisheries Department,Individual / Group,To enhance the livelihood of fishermen through training and support,Coastal Fisherman Sea Safety Training Course,This scheme aims to To enhance the livelihood of fishermen through training and support for fisherman by implementing the sea safety training course. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance the livelihood of fishermen through training and support.,"Fisherman, Fishing, Subsidy, Poor"
Central,National,Ministry of Agriculture,Coastal Development Department,Individual / Group,To provide subsidies for fishing nets and boat motors,Marine Women Fisherfolk Fishermen Welfare Scheme (2),This scheme aims to To provide subsidies for fishing nets and boat motors for women fisherfolk by implementing the fishermen welfare scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide subsidies for fishing nets and boat motors.,"Women, Fisherman, Subsidy, Urban"
State,Uttar Pradesh,State Government of Uttar Pradesh,Coastal Development Department,Individual / Group,To enhance the livelihood of fishermen through training and support,Inland Coastal Community Fishing Equipment Subsidy,This scheme aims to To enhance the livelihood of fishermen through training and support for coastal community by implementing the fishing equipment subsidy. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance the livelihood of fishermen through training and support.,"Coastal, Fisherman, Community"
District,"Chennai, Tamil Nadu",District Council,Coastal Development Department,Individual / Group,To enhance the livelihood of fishermen through training and support,Coastal Youth Fisherman Fishery Development Program,This scheme aims to To enhance the livelihood of fishermen through training and support for youth fisherman by implementing the fishery development program. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance the livelihood of fishermen through training and support.,"Youth, Fisherman, Training"
State,Gujarat,State Government of Gujarat,Fisheries Department,Individual / Group,To enhance the livelihood of fishermen through training and support,Inland Women Fisherfolk Boat Motor Assistance Scheme,This scheme aims to To enhance the livelihood of fishermen through training and support for women fisherfolk by implementing the boat motor assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance the livelihood of fishermen through training and support.,"Women, Fisherman, Subsidy"
State,Maharashtra,State Government of Maharashtra,Coastal Development Department,Individual / Group,To improve safety and productivity in the fisheries sector,Inland Tribal Fisherman Sea Safety Training Course,This scheme aims to To improve safety and productivity in the fisheries sector for tribal fisherman by implementing the sea safety training course. It provides support and benefits to eligible beneficiaries in line with the goal of To improve safety and productivity in the fisheries sector.,"Tribal, Fisherman, Subsidy, Poor"
Central,National,Ministry of Rural Development,Coastal Development Department,Individual / Group,To improve safety and productivity in the fisheries sector,Coastal Women Fisherfolk Boat Motor Assistance Scheme,This scheme aims to To improve safety and productivity in the fisheries sector for women fisherfolk by implementing the boat motor assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To improve safety and productivity in the fisheries sector.,"Women, Fisherman, Subsidy"
District,"Jaipur, Rajasthan",District Council,Coastal Development Department,Individual / Group,To provide subsidies for fishing nets and boat motors,Marine Youth Fisherman Fishing Equipment Subsidy,This scheme aims to To provide subsidies for fishing nets and boat motors for youth fisherman by implementing the fishing equipment subsidy. It provides support and benefits to eligible beneficiaries in line with the goal of To provide subsidies for fishing nets and boat motors.,"Youth, Fisherman, Training"
Central,National,Ministry of Education,Coastal Development Department,Individual / Group,To improve safety and productivity in the fisheries sector,Marine Women Fisherfolk Sea Safety Training Course,This scheme aims to To improve safety and productivity in the fisheries sector for women fisherfolk by implementing the sea safety training course. It provides support and benefits to eligible beneficiaries in line with the goal of To improve safety and productivity in the fisheries sector.,"Women, Fisherman, Subsidy, Rural"
Central,National,Ministry of Education,Coastal Development Department,Individual / Group,To improve safety and productivity in the fisheries sector,Inland Fisherman Boat Motor Assistance Scheme,This scheme aims to To improve safety and productivity in the fisheries sector for fisherman by implementing the boat motor assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To improve safety and productivity in the fisheries sector.,"Fisherman, Fishing, Subsidy"
Municipal,"Chandigarh, Chandigarh",Municipal Corporation,Coastal Development Department,Individual / Group,To provide subsidies for fishing nets and boat motors,Marine Coastal Community Boat Motor Assistance Scheme,This scheme aims to To provide subsidies for fishing nets and boat motors for coastal community by implementing the boat motor assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide subsidies for fishing nets and boat motors.,"Coastal, Fisherman, Community, Urban"
Private,Pan-India,Ministry of Health and Family Welfare,Fisheries Department,Individual / Group,To enhance the livelihood of fishermen through training and support,Marine Tribal Fisherman Fishing Equipment Subsidy,This scheme aims to To enhance the livelihood of fishermen through training and support for tribal fisherman by implementing the fishing equipment subsidy. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance the livelihood of fishermen through training and support.,"Tribal, Fisherman, Subsidy"
Central,National,Ministry of Agriculture,Coastal Development Department,Individual / Group,To provide subsidies for fishing nets and boat motors,Inland Coastal Community Fishermen Welfare Scheme,This scheme aims to To provide subsidies for fishing nets and boat motors for coastal community by implementing the fishermen welfare scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide subsidies for fishing nets and boat motors.,"Coastal, Fisherman, Community, Urban"
Central,National,Ministry of Health and Family Welfare,Coastal Development Department,Individual / Group,To enhance the livelihood of fishermen through training and support,Inland Youth Fisherman Fishermen Welfare Scheme,This scheme aims to To enhance the livelihood of fishermen through training and support for youth fisherman by implementing the fishermen welfare scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance the livelihood of fishermen through training and support.,"Youth, Fisherman, Training"
Central,National,Ministry of Agriculture,Fisheries Department,Individual / Group,To enhance the livelihood of fishermen through training and support,Coastal Tribal Fisherman Fishery Development Program,This scheme aims to To enhance the livelihood of fishermen through training and support for tribal fisherman by implementing the fishery development program. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance the livelihood of fishermen through training and support.,"Tribal, Fisherman, Subsidy"
Central,National,Ministry of Agriculture,Fisheries Department,Individual / Group,To enhance the livelihood of fishermen through training and support,Marine Youth Fisherman Fishermen Welfare Scheme,This scheme aims to To enhance the livelihood of fishermen through training and support for youth fisherman by implementing the fishermen welfare scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance the livelihood of fishermen through training and support.,"Youth, Fisherman, Training"
Central,National,Ministry of Social Justice,Coastal Development Department,Individual / Group,To provide subsidies for fishing nets and boat motors,Marine Fisherman Fishermen Welfare Scheme,This scheme aims to To provide subsidies for fishing nets and boat motors for fisherman by implementing the fishermen welfare scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide subsidies for fishing nets and boat motors.,"Fisherman, Fishing, Subsidy, Poor"
Municipal,"Chennai, Tamil Nadu",Municipal Corporation,Coastal Development Department,Individual / Group,To improve safety and productivity in the fisheries sector,Marine Coastal Community Boat Motor Assistance Scheme (2),This scheme aims to To improve safety and productivity in the fisheries sector for coastal community by implementing the boat motor assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To improve safety and productivity in the fisheries sector.,"Coastal, Fisherman, Community, Rural, Poor"
Municipal,"Hyderabad, Telangana",Municipal Corporation,Fisheries Department,Individual / Group,To provide subsidies for fishing nets and boat motors,Inland Tribal Fisherman Boat Motor Assistance Scheme,This scheme aims to To provide subsidies for fishing nets and boat motors for tribal fisherman by implementing the boat motor assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide subsidies for fishing nets and boat motors.,"Tribal, Fisherman, Subsidy"
Central,National,Ministry of Education,Coastal Development Department,Individual / Group,To improve safety and productivity in the fisheries sector,Inland Fisherman Boat Motor Assistance Scheme (2),This scheme aims to To improve safety and productivity in the fisheries sector for fisherman by implementing the boat motor assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To improve safety and productivity in the fisheries sector.,"Fisherman, Fishing, Subsidy"
District,"Kolkata, West Bengal",District Council,Fisheries Department,Individual / Group,To provide subsidies for fishing nets and boat motors,Inland Youth Fisherman Fishery Development Program,This scheme aims to To provide subsidies for fishing nets and boat motors for youth fisherman by implementing the fishery development program. It provides support and benefits to eligible beneficiaries in line with the goal of To provide subsidies for fishing nets and boat motors.,"Youth, Fisherman, Training, Urban"
State,Tamil Nadu,State Government of Tamil Nadu,Fisheries Department,Individual / Group,To enhance the livelihood of fishermen through training and support,Coastal Women Fisherfolk Fishery Development Program,This scheme aims to To enhance the livelihood of fishermen through training and support for women fisherfolk by implementing the fishery development program. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance the livelihood of fishermen through training and support.,"Women, Fisherman, Subsidy"
State,Tamil Nadu,State Government of Tamil Nadu,Coastal Development Department,Individual / Group,To provide subsidies for fishing nets and boat motors,Marine Fisherman Fishermen Welfare Scheme (2),This scheme aims to To provide subsidies for fishing nets and boat motors for fisherman by implementing the fishermen welfare scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide subsidies for fishing nets and boat motors.,"Fisherman, Fishing, Subsidy, Rural"
Private,Pan-India,State Government of Maharashtra,Fisheries Department,Individual / Group,To provide subsidies for fishing nets and boat motors,Marine Coastal Community Fishing Equipment Subsidy,This scheme aims to To provide subsidies for fishing nets and boat motors for coastal community by implementing the fishing equipment subsidy. It provides support and benefits to eligible beneficiaries in line with the goal of To provide subsidies for fishing nets and boat motors.,"Coastal, Fisherman, Community, Rural"
State,Maharashtra,State Government of Maharashtra,Fisheries Department,Individual / Group,To provide subsidies for fishing nets and boat motors,Coastal Women Fisherfolk Sea Safety Training Course,This scheme aims to To provide subsidies for fishing nets and boat motors for women fisherfolk by implementing the sea safety training course. It provides support and benefits to eligible beneficiaries in line with the goal of To provide subsidies for fishing nets and boat motors.,"Women, Fisherman, Subsidy, Poor"
District,"Nashik, Maharashtra",District Council,Fisheries Department,Individual / Group,To improve safety and productivity in the fisheries sector,Marine Youth Fisherman Fishermen Welfare Scheme (2),This scheme aims to To improve safety and productivity in the fisheries sector for youth fisherman by implementing the fishermen welfare scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To improve safety and productivity in the fisheries sector.,"Youth, Fisherman, Training, Urban"
State,Karnataka,State Government of Karnataka,Fisheries Department,Individual / Group,To improve safety and productivity in the fisheries sector,Marine Tribal Fisherman Boat Motor Assistance Scheme,This scheme aims to To improve safety and productivity in the fisheries sector for tribal fisherman by implementing the boat motor assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To improve safety and productivity in the fisheries sector.,"Tribal, Fisherman, Subsidy"
Municipal,"Nagpur, Maharashtra",Municipal Corporation,Coastal Development Department,Individual / Group,To improve safety and productivity in the fisheries sector,Coastal Coastal Community Fishing Equipment Subsidy,This scheme aims to To improve safety and productivity in the fisheries sector for coastal community by implementing the fishing equipment subsidy. It provides support and benefits to eligible beneficiaries in line with the goal of To improve safety and productivity in the fisheries sector.,"Coastal, Fisherman, Community, Urban"
Central,National,Ministry of Rural Development,Fisheries Department,Individual / Group,To provide subsidies for fishing nets and boat motors,Coastal Coastal Community Sea Safety Training Course,This scheme aims to To provide subsidies for fishing nets and boat motors for coastal community by implementing the sea safety training course. It provides support and benefits to eligible beneficiaries in line with the goal of To provide subsidies for fishing nets and boat motors.,"Coastal, Fisherman, Community"
Municipal,"Pune, Maharashtra",Municipal Corporation,Coastal Development Department,Individual / Group,To provide subsidies for fishing nets and boat motors,Coastal Tribal Fisherman Fishermen Welfare Scheme,This scheme aims to To provide subsidies for fishing nets and boat motors for tribal fisherman by implementing the fishermen welfare scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide subsidies for fishing nets and boat motors.,"Tribal, Fisherman, Subsidy"
State,Karnataka,State Government of Karnataka,Fisheries Department,Individual / Group,To provide subsidies for fishing nets and boat motors,Marine Women Fisherfolk Fishing Equipment Subsidy,This scheme aims to To provide subsidies for fishing nets and boat motors for women fisherfolk by implementing the fishing equipment subsidy. It provides support and benefits to eligible beneficiaries in line with the goal of To provide subsidies for fishing nets and boat motors.,"Women, Fisherman, Subsidy, Rural"
Central,National,Ministry of Social Justice,Fisheries Department,Individual / Group,To provide subsidies for fishing nets and boat motors,Inland Women Fisherfolk Fishermen Welfare Scheme,This scheme aims to To provide subsidies for fishing nets and boat motors for women fisherfolk by implementing the fishermen welfare scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide subsidies for fishing nets and boat motors.,"Women, Fisherman, Subsidy, Urban"
District,"Lucknow, Uttar Pradesh",District Council,Fisheries Department,Individual / Group,To improve safety and productivity in the fisheries sector,Coastal Tribal Fisherman Fishery Development Program (2),This scheme aims to To improve safety and productivity in the fisheries sector for tribal fisherman by implementing the fishery development program. It provides support and benefits to eligible beneficiaries in line with the goal of To improve safety and productivity in the fisheries sector.,"Tribal, Fisherman, Subsidy, Rural"
Central,National,Ministry of Education,Fisheries Department,Individual / Group,To enhance the livelihood of fishermen through training and support,Inland Women Fisherfolk Fishery Development Program,This scheme aims to To enhance the livelihood of fishermen through training and support for women fisherfolk by implementing the fishery development program. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance the livelihood of fishermen through training and support.,"Women, Fisherman, Subsidy"
Municipal,"Delhi, Delhi",Municipal Corporation,Coastal Development Department,Individual / Group,To provide subsidies for fishing nets and boat motors,Inland Tribal Fisherman Fishing Equipment Subsidy,This scheme aims to To provide subsidies for fishing nets and boat motors for tribal fisherman by implementing the fishing equipment subsidy. It provides support and benefits to eligible beneficiaries in line with the goal of To provide subsidies for fishing nets and boat motors.,"Tribal, Fisherman, Subsidy"
State,Bihar,State Government of Bihar,Coastal Development Department,Individual / Group,To provide subsidies for fishing nets and boat motors,Coastal Women Fisherfolk Fishery Development Program (2),This scheme aims to To provide subsidies for fishing nets and boat motors for women fisherfolk by implementing the fishery development program. It provides support and benefits to eligible beneficiaries in line with the goal of To provide subsidies for fishing nets and boat motors.,"Women, Fisherman, Subsidy"
Central,National,Ministry of Agriculture,Coastal Development Department,Individual / Group,To provide subsidies for fishing nets and boat motors,Inland Tribal Fisherman Fishing Equipment Subsidy (2),This scheme aims to To provide subsidies for fishing nets and boat motors for tribal fisherman by implementing the fishing equipment subsidy. It provides support and benefits to eligible beneficiaries in line with the goal of To provide subsidies for fishing nets and boat motors.,"Tribal, Fisherman, Subsidy"
Central,National,Ministry of Social Justice,Fisheries Department,Individual / Group,To enhance the livelihood of fishermen through training and support,Coastal Women Fisherfolk Fishery Development Program (3),This scheme aims to To enhance the livelihood of fishermen through training and support for women fisherfolk by implementing the fishery development program. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance the livelihood of fishermen through training and support.,"Women, Fisherman, Subsidy"
Central,National,Ministry of Rural Development,Fisheries Department,Individual / Group,To enhance the livelihood of fishermen through training and support,Inland Fisherman Sea Safety Training Course,This scheme aims to To enhance the livelihood of fishermen through training and support for fisherman by implementing the sea safety training course. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance the livelihood of fishermen through training and support.,"Fisherman, Fishing, Subsidy, Rural"
State,Bihar,State Government of Bihar,Fisheries Department,Individual / Group,To improve safety and productivity in the fisheries sector,Inland Tribal Fisherman Fishing Equipment Subsidy (3),This scheme aims to To improve safety and productivity in the fisheries sector for tribal fisherman by implementing the fishing equipment subsidy. It provides support and benefits to eligible beneficiaries in line with the goal of To improve safety and productivity in the fisheries sector.,"Tribal, Fisherman, Subsidy, Rural"
State,Uttar Pradesh,State Government of Uttar Pradesh,Coastal Development Department,Individual / Group,To improve safety and productivity in the fisheries sector,Coastal Fisherman Boat Motor Assistance Scheme,This scheme aims to To improve safety and productivity in the fisheries sector for fisherman by implementing the boat motor assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To improve safety and productivity in the fisheries sector.,"Fisherman, Fishing, Subsidy"
Central,National,Ministry of Social Justice,Coastal Development Department,Individual / Group,To enhance the livelihood of fishermen through training and support,Coastal Coastal Community Fishermen Welfare Scheme,This scheme aims to To enhance the livelihood of fishermen through training and support for coastal community by implementing the fishermen welfare scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance the livelihood of fishermen through training and support.,"Coastal, Fisherman, Community"
State,Uttar Pradesh,State Government of Uttar Pradesh,Coastal Development Department,Individual / Group,To improve safety and productivity in the fisheries sector,Marine Youth Fisherman Fishing Equipment Subsidy (2),This scheme aims to To improve safety and productivity in the fisheries sector for youth fisherman by implementing the fishing equipment subsidy. It provides support and benefits to eligible beneficiaries in line with the goal of To improve safety and productivity in the fisheries sector.,"Youth, Fisherman, Training"
State,Bihar,State Government of Bihar,Fisheries Department,Individual / Group,To provide subsidies for fishing nets and boat motors,Marine Coastal Community Boat Motor Assistance Scheme (3),This scheme aims to To provide subsidies for fishing nets and boat motors for coastal community by implementing the boat motor assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide subsidies for fishing nets and boat motors.,"Coastal, Fisherman, Community"
Central,National,Ministry of Education,Fisheries Department,Individual / Group,To enhance the livelihood of fishermen through training and support,Coastal Youth Fisherman Fishermen Welfare Scheme,This scheme aims to To enhance the livelihood of fishermen through training and support for youth fisherman by implementing the fishermen welfare scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance the livelihood of fishermen through training and support.,"Youth, Fisherman, Training"
State,Karnataka,State Government of Karnataka,Coastal Development Department,Individual / Group,To provide subsidies for fishing nets and boat motors,Marine Coastal Community Boat Motor Assistance Scheme (4),This scheme aims to To provide subsidies for fishing nets and boat motors for coastal community by implementing the boat motor assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide subsidies for fishing nets and boat motors.,"Coastal, Fisherman, Community, Rural, Poor"
Municipal,"Hyderabad, Telangana",Municipal Corporation,Coastal Development Department,Individual / Group,To enhance the livelihood of fishermen through training and support,Inland Coastal Community Fishery Development Program,This scheme aims to To enhance the livelihood of fishermen through training and support for coastal community by implementing the fishery development program. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance the livelihood of fishermen through training and support.,"Coastal, Fisherman, Community"
Central,National,Ministry of Education,Coastal Development Department,Individual / Group,To enhance the livelihood of fishermen through training and support,Inland Tribal Fisherman Fishing Equipment Subsidy (4),This scheme aims to To enhance the livelihood of fishermen through training and support for tribal fisherman by implementing the fishing equipment subsidy. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance the livelihood of fishermen through training and support.,"Tribal, Fisherman, Subsidy"
Municipal,"Delhi, Delhi",Municipal Corporation,Fisheries Department,Individual / Group,To enhance the livelihood of fishermen through training and support,Coastal Fisherman Sea Safety Training Course (2),This scheme aims to To enhance the livelihood of fishermen through training and support for fisherman by implementing the sea safety training course. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance the livelihood of fishermen through training and support.,"Fisherman, Fishing, Subsidy"
State,Maharashtra,State Government of Maharashtra,Coastal Development Department,Individual / Group,To improve safety and productivity in the fisheries sector,Inland Fisherman Fishermen Welfare Scheme,This scheme aims to To improve safety and productivity in the fisheries sector for fisherman by implementing the fishermen welfare scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To improve safety and productivity in the fisheries sector.,"Fisherman, Fishing, Subsidy"
Municipal,"Jaipur, Rajasthan",Municipal Corporation,Coastal Development Department,Individual / Group,To improve safety and productivity in the fisheries sector,Marine Youth Fisherman Fishing Equipment Subsidy (3),This scheme aims to To improve safety and productivity in the fisheries sector for youth fisherman by implementing the fishing equipment subsidy. It provides support and benefits to eligible beneficiaries in line with the goal of To improve safety and productivity in the fisheries sector.,"Youth, Fisherman, Training"
District,"Patna, Bihar",District Council,Fisheries Department,Individual / Group,To improve safety and productivity in the fisheries sector,Inland Youth Fisherman Sea Safety Training Course,This scheme aims to To improve safety and productivity in the fisheries sector for youth fisherman by implementing the sea safety training course. It provides support and benefits to eligible beneficiaries in line with the goal of To improve safety and productivity in the fisheries sector.,"Youth, Fisherman, Training"
State,Maharashtra,State Government of Maharashtra,Fisheries Department,Individual / Group,To improve safety and productivity in the fisheries sector,Marine Tribal Fisherman Sea Safety Training Course,This scheme aims to To improve safety and productivity in the fisheries sector for tribal fisherman by implementing the sea safety training course. It provides support and benefits to eligible beneficiaries in line with the goal of To improve safety and productivity in the fisheries sector.,"Tribal, Fisherman, Subsidy, Urban, Poor"
Central,National,Ministry of Education,Industry and Commerce Department,Individual,To preserve traditional crafts and improve livelihood of artisans,Village Industry Carpenter Artisan Credit Support,This scheme aims to To preserve traditional crafts and improve livelihood of artisans for carpenter by implementing the artisan credit support. It provides support and benefits to eligible beneficiaries in line with the goal of To preserve traditional crafts and improve livelihood of artisans.,"Carpenter, Artisan, Training"
State,Uttar Pradesh,State Government of Uttar Pradesh,Industry and Commerce Department,Individual,To preserve traditional crafts and improve livelihood of artisans,Khadi Potter Potter Assistance Scheme,This scheme aims to To preserve traditional crafts and improve livelihood of artisans for potter by implementing the potter assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To preserve traditional crafts and improve livelihood of artisans.,"Potter, Artisan, Support"
State,Tamil Nadu,State Government of Tamil Nadu,Industry and Commerce Department,Individual,To offer skill training and credit facilities to artisans,Khadi Women Artisan Potter Assistance Scheme,This scheme aims to To offer skill training and credit facilities to artisans for women artisan by implementing the potter assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To offer skill training and credit facilities to artisans.,"Women, Artisan, Support"
Central,National,Central Government of India,Handicrafts Development Department,Individual,To preserve traditional crafts and improve livelihood of artisans,Handicraft Weaver Artisan Credit Support,This scheme aims to To preserve traditional crafts and improve livelihood of artisans for weaver by implementing the artisan credit support. It provides support and benefits to eligible beneficiaries in line with the goal of To preserve traditional crafts and improve livelihood of artisans.,"Weaver, Artisan, Subsidy, Poor"
Central,National,Ministry of Rural Development,Handicrafts Development Department,Individual,To provide financial assistance and marketing support to artisans,Handloom Women Artisan Carpenter Training Initiative,This scheme aims to To provide financial assistance and marketing support to artisans for women artisan by implementing the carpenter training initiative. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial assistance and marketing support to artisans.,"Women, Artisan, Support, Urban"
Central,National,Central Government of India,Handicrafts Development Department,Individual,To provide financial assistance and marketing support to artisans,Khadi Handicraft Artisan Crafts Promotion Program,This scheme aims to To provide financial assistance and marketing support to artisans for handicraft artisan by implementing the crafts promotion program. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial assistance and marketing support to artisans.,"Handicraft, Artisan, Support"
Central,National,Ministry of Rural Development,Handicrafts Development Department,Individual,To provide financial assistance and marketing support to artisans,Handloom Weaver Carpenter Training Initiative,This scheme aims to To provide financial assistance and marketing support to artisans for weaver by implementing the carpenter training initiative. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial assistance and marketing support to artisans.,"Weaver, Artisan, Subsidy"
State,Bihar,State Government of Bihar,Handicrafts Development Department,Individual,To preserve traditional crafts and improve livelihood of artisans,Handloom Carpenter Potter Assistance Scheme,This scheme aims to To preserve traditional crafts and improve livelihood of artisans for carpenter by implementing the potter assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To preserve traditional crafts and improve livelihood of artisans.,"Carpenter, Artisan, Training"
Central,National,Ministry of Agriculture,Industry and Commerce Department,Individual,To preserve traditional crafts and improve livelihood of artisans,Village Industry Carpenter Potter Assistance Scheme,This scheme aims to To preserve traditional crafts and improve livelihood of artisans for carpenter by implementing the potter assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To preserve traditional crafts and improve livelihood of artisans.,"Carpenter, Artisan, Training, Rural"
Central,National,Ministry of Health and Family Welfare,Handicrafts Development Department,Individual,To preserve traditional crafts and improve livelihood of artisans,Handloom Carpenter Artisan Credit Support,This scheme aims to To preserve traditional crafts and improve livelihood of artisans for carpenter by implementing the artisan credit support. It provides support and benefits to eligible beneficiaries in line with the goal of To preserve traditional crafts and improve livelihood of artisans.,"Carpenter, Artisan, Training"
Central,National,Ministry of Health and Family Welfare,Industry and Commerce Department,Individual,To preserve traditional crafts and improve livelihood of artisans,Handicraft Carpenter Artisan Credit Support,This scheme aims to To preserve traditional crafts and improve livelihood of artisans for carpenter by implementing the artisan credit support. It provides support and benefits to eligible beneficiaries in line with the goal of To preserve traditional crafts and improve livelihood of artisans.,"Carpenter, Artisan, Training"
State,Gujarat,State Government of Gujarat,Industry and Commerce Department,Individual,To provide financial assistance and marketing support to artisans,Handicraft Women Artisan Weaver Welfare Scheme,This scheme aims to To provide financial assistance and marketing support to artisans for women artisan by implementing the weaver welfare scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial assistance and marketing support to artisans.,"Women, Artisan, Support"
State,Maharashtra,State Government of Maharashtra,Industry and Commerce Department,Individual,To preserve traditional crafts and improve livelihood of artisans,Khadi Potter Artisan Credit Support,This scheme aims to To preserve traditional crafts and improve livelihood of artisans for potter by implementing the artisan credit support. It provides support and benefits to eligible beneficiaries in line with the goal of To preserve traditional crafts and improve livelihood of artisans.,"Potter, Artisan, Support"
Central,National,Central Government of India,Industry and Commerce Department,Individual,To offer skill training and credit facilities to artisans,Khadi Potter Crafts Promotion Program,This scheme aims to To offer skill training and credit facilities to artisans for potter by implementing the crafts promotion program. It provides support and benefits to eligible beneficiaries in line with the goal of To offer skill training and credit facilities to artisans.,"Potter, Artisan, Support"
State,Uttar Pradesh,State Government of Uttar Pradesh,Industry and Commerce Department,Individual,To offer skill training and credit facilities to artisans,Khadi Handicraft Artisan Artisan Credit Support,This scheme aims to To offer skill training and credit facilities to artisans for handicraft artisan by implementing the artisan credit support. It provides support and benefits to eligible beneficiaries in line with the goal of To offer skill training and credit facilities to artisans.,"Handicraft, Artisan, Support, Poor"
District,"Bhopal, Madhya Pradesh",District Council,Handicrafts Development Department,Individual,To offer skill training and credit facilities to artisans,Khadi Weaver Weaver Welfare Scheme,This scheme aims to To offer skill training and credit facilities to artisans for weaver by implementing the weaver welfare scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To offer skill training and credit facilities to artisans.,"Weaver, Artisan, Subsidy, Poor"
State,Maharashtra,State Government of Maharashtra,Handicrafts Development Department,Individual,To offer skill training and credit facilities to artisans,Handicraft Weaver Artisan Credit Support (2),This scheme aims to To offer skill training and credit facilities to artisans for weaver by implementing the artisan credit support. It provides support and benefits to eligible beneficiaries in line with the goal of To offer skill training and credit facilities to artisans.,"Weaver, Artisan, Subsidy, Poor"
